hospital_name,city,state_code,rural_versus_urban,net_income,net_patient_revenue,total_costs,total_discharges,medicare_discharges,cost_to_charge_ratio,cost_of_charity_care,medicare_dependency_pct,charge_markup_ratio
"MERCY REHABILITATION HOSPITAL OKLAHO","OKLAHOMA CITY",OK,U,2069249.00,14380731.00,12411686.00,665,466,NULL,NULL,70.08,1.58
"LEXINGTON REGIONAL REHABILITATION HO",CAYCE,SC,U,-1402813.00,4199067.00,6255717.00,197,164,NULL,NULL,83.25,1.62
"FISHER COUNTY HOSPITAL DISTRICT",ROTAN,TX,R,1004818.00,8115274.00,10690593.00,25,17,1.0373,698062.00,68.00,0.96
"SAN JUAN HEALTH SERVICES DISTRICT",MONTICELLO,UT,R,707111.00,22055312.00,22401518.00,262,69,0.7313,36288.00,26.34,1.37
"TOPPENISH COMMUNITY HOSPITAL",TOPPENISH,WA,U,-5369222.00,53651247.00,59881779.00,610,116,0.2856,723201.00,19.02,3.50
"MCHS FRANCISCAN HEALTHCARE  INC","LA CROSSE",WI,R,22730986.00,431135287.00,320334271.00,4346,1539,0.3966,2608376.00,35.41,2.52
"ST. CLARE HOSPITAL",BARABOO,WI,R,19836796.00,73223489.00,55375234.00,1638,562,0.2311,2032918.00,34.31,4.33
"BEAVER DAM COMMUNITY HOSPITALS","BEAVER DAM",WI,R,-27255441.00,96305088.00,89601977.00,1138,294,0.3676,656804.00,25.83,2.72
"ST. MARYS HOSPITAL",MADISON,WI,U,54185822.00,578664225.00,369006050.00,18126,6417,0.2154,5327154.00,35.40,4.64
"WAUPUN MEMORIAL HOSPITAL",WAUPUN,WI,R,10582529.00,59349267.00,41492940.00,767,146,0.2762,1255966.00,19.04,3.62
"WARM SPRINGS REHAB VICTORIA",VICTORIA,TX,U,3094247.00,16429804.00,12560792.00,801,517,NULL,NULL,64.54,3.38
"MCKEE MEDICAL CENTER",LOVELAND,CO,U,430280.00,107424534.00,100240000.00,2047,492,0.3050,1259819.00,24.04,3.28
"PAM HEALTH REHAB HOSPITAL OF TAVARES",TAVARES,FL,U,-2904216.00,10353521.00,12568889.00,449,404,NULL,NULL,89.98,1.98
"PAM HEALTH REHAB HOSPITAL OF JUPITER",JUPITER,FL,U,-554089.00,10319774.00,10125132.00,454,423,NULL,NULL,93.17,2.12
"COMMUNITY HOSPITAL OF STAUNTON",STAUNTON,IL,U,2972283.00,21817474.00,17469917.00,104,51,0.3921,100279.00,49.04,2.55
"PAM II OF COVINGTON",COVINGTON,LA,U,-725347.00,16853729.00,16887759.00,261,156,NULL,NULL,59.77,3.11
"RIVER OAKS HOSPITAL",HARAHANELO,LA,U,955322.00,26899283.00,20622460.00,4322,91,NULL,NULL,2.11,2.91
"GENESIS BEHAVIORAL HOSPITAL INC",LAFAYETTE,LA,U,-470599.00,8512324.00,7658074.00,654,88,NULL,NULL,13.46,2.16
"SPRING VALLEY HOSPITAL MEDICAL CNTR","LAS VEGAS",NV,U,52157212.00,432337405.00,351146741.00,17607,2869,0.0668,8571196.00,16.29,14.97
"MONMOUTH MEDICAL CENTER SOUTHERN CAM",LAKEWOOD,NJ,U,3662632.00,144575263.00,139017169.00,5663,1860,0.1858,8969267.00,32.84,5.38
"ATLANTIC REHABILITATION INSTITUTE",MADISON,NJ,U,6113330.00,24475757.00,17679418.00,1011,677,0.4160,NULL,66.96,2.40
"WAYNE HOSPITAL COMPANY",GREENVILLE,OH,R,-5195830.00,60747314.00,68973595.00,1101,404,0.3767,820864.00,36.69,2.65
"MEMORIAL HOSPITAL OF UNION COUNTY",MARYSVILLE,OH,U,9290339.00,172569468.00,133694850.00,2719,664,0.3111,1296612.00,24.42,3.21
"INSTITUTE FOR ORTHOPAEDIC SURGERY",LIMA,OH,U,24498430.00,62610410.00,36495925.00,581,284,0.1585,NULL,48.88,6.31
"CREEK NATION HOSPITAL COUNCIL OAK",TULSA,OK,U,-11023801.00,6515100.00,29862675.00,141,14,1.0551,NULL,9.93,0.95
"LAKESIDE HOSPITAL",MEMPHIS,TN,U,9794125.00,65485231.00,46187046.00,7081,482,NULL,NULL,6.81,3.26
"WARM SPRINGS SPECIALITY HOSPITAL",LULING,TX,U,4149980.00,22805702.00,17757244.00,251,197,NULL,NULL,78.49,3.64
"VICTORIA WARM SPRINGS SPECIALTY HOSP",VICTORIA,TX,U,4012497.00,28953054.00,24383635.00,443,272,NULL,NULL,61.40,3.76
"HOUSTON METHODIST ST. CATHERINE LTAC",KATY,TX,U,-12644649.00,66239516.00,81999231.00,618,240,0.2766,4128024.00,38.83,3.62
"RED RIVER HOSPITAL","WICHITA FALLS",TX,U,2798075.00,21812294.00,16920562.00,2126,144,NULL,NULL,6.77,3.36
"LAKEVIEW MEDICAL CENTER OF RICE LAKE","RICE LAKE",WI,R,5019206.00,152609025.00,123427886.00,1545,438,0.3550,773633.00,28.35,2.82
"EDGERTON HOSPITAL & HEALTH SERVICES",EDGERTON,WI,R,409998.00,29891991.00,26585256.00,139,67,0.4666,10049.00,48.20,2.14
"MEMORIAL HERMANN KINGWOOD",KINGWOOD,TX,U,6615267.00,35597454.00,25723305.00,291,74,0.1745,NULL,25.43,5.73
"MAYHILL HOSPITAL",DENTON,TX,U,-5542918.00,10229901.00,14735516.00,NULL,NULL,NULL,631000.00,NULL,2.41
"NORTH CENTRAL SURGICAL HOSPITAL",DALLAS,TX,U,47008760.00,145085195.00,93374192.00,917,403,0.2778,116924.00,43.95,3.60
"PAM REHAB HOSP OF ROUND ROCK","ROUND ROCK",TX,U,4047163.00,22620275.00,17992302.00,906,546,NULL,NULL,60.26,2.26
"COBALT REHAB HOSPITAL EL PASO","EL PASO",TX,U,282353.00,17541719.00,16509318.00,799,365,NULL,NULL,45.68,1.99
"PHOENIX CHILDRENS HOSPITAL",PHOENIX,AZ,U,277734917.00,1372554647.00,884460969.00,14800,61,NULL,NULL,0.41,4.20
"HOAG ORTHOPEDIC INSTITUTE",IRVINE,CA,U,43719009.00,156307039.00,108742510.00,1882,966,0.1900,217691.00,51.33,5.26
"DOCS SURGICAL HOSPITAL","LOS ANGELES",CA,U,-871165.00,14647831.00,15251912.00,540,162,0.1917,NULL,30.00,5.22
"SAN JOSE BEHAVIORAL HEALTH","SANN JOSE",CA,U,13550826.00,58931789.00,39446662.00,3306,200,NULL,NULL,6.05,2.45
"ENCOMPASS HEALTH REHABILITATION HOSP",LUTZ,FL,U,1346811.00,25359930.00,22868787.00,1174,843,NULL,NULL,71.81,1.79
"RIVERSIDE MEDICAL CENTER",KANKAKEE,IL,U,56497505.00,434453319.00,288440454.00,8249,2576,0.1954,2911038.00,31.23,5.12
"OCHSNER BAYOU  LLC",RACELAND,LA,R,15074049.00,61703058.00,44935487.00,996,139,0.3283,699080.00,13.96,3.05
"MAYO CLINIC HEALTH SYSTEM - RED WING","RED WING",MN,R,9278347.00,149179868.00,114028967.00,1329,540,0.4760,1164819.00,40.63,2.10
"COOK HOSPITAL",COOK,MN,R,1554694.00,15407196.00,16606892.00,94,55,0.7172,14328.00,58.51,1.39
"BENEFIS TETON MEDICAL CENTER",CHOTEAU,MT,R,29584.00,9393738.00,9837538.00,24,9,1.0443,14770.00,37.50,0.96
"CLIFTON-FINE HOSPITAL","STAR LAKE",NY,R,-851471.00,9426983.00,10116999.00,22,7,1.3729,16504.00,31.82,0.73
"COMMUNITY MEMORIAL HOSPITAL",HAMILTON,NY,R,-1990548.00,54473492.00,55756083.00,765,266,0.5661,97487.00,34.77,1.77
"OLD VINEYARD","WINSTON SALEM",NC,U,7759686.00,37464338.00,28279840.00,6309,365,NULL,NULL,5.79,2.98
"ST ANTHONY SHAWNEE HOSPITAL",SHAWNEE,OK,R,1380090.00,163353236.00,123649053.00,3931,1204,0.2015,4306086.00,30.63,4.96
"KENT COUNTY MEMORIAL HOSPITAL",WARWICK,RI,U,-14498251.00,363709140.00,359611993.00,10910,2727,0.3370,2280361.00,25.00,2.97
"SPARTANBURG REHABILITATION INSTITUTE",SPARTANBURG,SC,U,3082705.00,20031549.00,18660156.00,822,583,NULL,NULL,70.92,1.74
"MIDLANDS REGIONAL REHABILITATION HOS",ELGIN,SC,U,-10725.00,15327756.00,16506118.00,693,463,NULL,NULL,66.81,1.40
"LILLIAN M. HUDSPETH MEMORIAL HOSP.",SONORA,TX,R,3466592.00,9158986.00,10478503.00,47,20,0.7305,1190584.00,42.55,1.37
"CHILDRENS MEDICAL CENTER OF DALLAS",DALLAS,TX,U,327388365.00,1892616204.00,1386866669.00,13395,90,0.3451,NULL,0.67,2.90
"BEDFORD MEMORIAL HOSPITAL",BEDFORD,VA,U,-3794370.00,51470472.00,36383327.00,1378,620,0.1796,1271364.00,44.99,5.57
"SOUTHSIDE COMMUNITY HOSPITAL",FARMVILLE,VA,R,-46454302.00,115675401.00,89495966.00,2793,960,0.2293,2552493.00,34.37,4.36
"BELOIT MEMORIAL HOSPITAL  INC.",BELOIT,WI,U,-22644059.00,264956041.00,161590650.00,4031,1346,0.1790,86464.00,33.39,5.59
"FLAMBEAU HOSPITAL MCHS","PARK FALLS",WI,R,3871009.00,40803130.00,33947345.00,350,118,0.4490,115842.00,33.71,2.23
"INDIANHEAD MEDICAL CENTER","SHELL LAKE",WI,R,-815396.00,12160256.00,13192313.00,168,102,0.7899,2810.00,60.71,1.27
"THE CORE INSTITUTE SPECIALTY HOSPITA",PHOENIX,AZ,U,11629603.00,106329057.00,100792223.00,677,228,0.1949,NULL,33.68,5.13
"ARIZONA GENERAL HOSPITAL",LAVEEN,AZ,U,5475864.00,86494539.00,65206988.00,835,51,0.0965,3260310.00,6.11,10.36
"ARIZONA GENERAL HOSPITAL",MESA,AZ,U,-9214778.00,118280133.00,106572685.00,3433,621,0.1350,3309521.00,18.09,7.41
"NORTHERN COCHISE COMMUNITY HOSPITAL",WILLCOX,AZ,U,1738546.00,18076513.00,18388926.00,118,46,0.5802,89762.00,38.98,1.72
"THE GUIDANCE CENTER  INC.",FLAGSTAFF,AZ,U,-550782.00,20042461.00,15440828.00,611,43,NULL,NULL,7.04,1.19
"BAPTIST HEALTH MEDICAL CENTER- NLR","NORTH LITTLE ROCK",AR,U,41277480.00,297482238.00,215714449.00,12432,3900,0.1817,8651447.00,31.37,5.50
"DARDANELLE HOSPITAL",DARDANELLE,AR,R,-100941.00,18960516.00,18503502.00,328,102,0.3063,245367.00,31.10,3.26
"SMC MEDICAL CENTER",OSCEOLA,AR,R,-792740.00,7698813.00,11695172.00,116,24,0.4318,68341.00,20.69,2.32
"DALLAS COUNTY MEDICAL CENTER",FORDYCE,AR,R,1564181.00,9857945.00,11875061.00,157,127,0.5383,104290.00,80.89,1.86
"CONWAY REGIONAL REHABILITATION HOSPI",CONWAY,AR,U,255822.00,6750430.00,6178316.00,362,257,NULL,NULL,70.99,1.41
"KFH - SOUTH SAN FRANCISCO","SOUTH SAN FRANCISCO",CA,U,21482085.00,308304414.00,252952768.00,5906,456,0.2233,509639.00,7.72,4.48
"KFH - SANTA CLARA","SANTA CLARA",CA,R,191788816.00,1319851759.00,1032641128.00,17532,419,0.2432,1118330.00,2.39,4.11
"KFH - WALNUT CREEK","WALNUT CREEK",CA,U,-67062125.00,674478180.00,635666437.00,12279,235,0.2419,595928.00,1.91,4.13
"KFH - SAN RAFAEL","SAN RAFAEL",CA,U,-95583169.00,180315586.00,240291337.00,4359,143,0.2541,418280.00,3.28,3.94
"KFH - WOODLAND HILLS","WOODLAND HILLS",CA,R,-44166548.00,434931505.00,419991438.00,9868,219,0.2461,674037.00,2.22,4.06
"KFH - FRESNO",FRESNO,CA,U,62269177.00,456105525.00,356423536.00,8453,252,0.1928,886856.00,2.98,5.19
"EAST MORGAN COUNTY HOSPITAL",BRUSH,CO,R,3618071.00,40231355.00,35710098.00,460,131,0.6026,455295.00,28.48,1.66
"NORTHERN COLORADO REHABILITATION HOS",JOHNSTOWN,CO,U,5085591.00,24359160.00,18919298.00,968,530,NULL,NULL,54.75,1.92
"ENCOMPASS HEALTH REHABILITATION HOSP",SARASOTA,FL,U,14707616.00,62783349.00,41636686.00,2931,2285,NULL,NULL,77.96,2.03
"ENCOMPASS HEALTH REHABILITATION HOSP","VERO BEACH",FL,U,4910656.00,31551876.00,26504313.00,1654,1254,NULL,NULL,75.82,1.70
"REHABILIATION HOSPITAL OF NAPLES",NAPLES,FL,U,5031599.00,28901669.00,22918657.00,1407,1097,NULL,NULL,77.97,1.81
"PAM REHAB HOSP OF GREATER INDIANA",CLARKSVILLE,IN,U,8301391.00,30941145.00,20997709.00,1360,1074,NULL,NULL,78.97,2.47
"FW HUSTON MEMORIAL HOSPITAL",WINCHESTER,KS,U,1473935.00,7635981.00,7916223.00,2,2,0.9553,2343.00,100.00,1.05
"WILSON MEDICAL CENTER",NEODESHA,KS,R,-1323160.00,17281842.00,18464810.00,138,66,0.6629,98802.00,47.83,1.51
"COMMUNITY MEMORIAL HEALTHCARE  INC.",MARYSVILLE,KS,R,-1275798.00,24518605.00,25244794.00,589,271,0.6373,275548.00,46.01,1.57
"ALLEN COUNTY REGIONAL HOSPITAL",IOLA,KS,R,-2912830.00,26937126.00,27988933.00,252,146,0.5208,963459.00,57.94,1.92
"NEOSHO MEMORIAL REGIONAL MED CTR",CHANUTE,KS,R,2708849.00,56201119.00,55971429.00,1278,523,0.3785,3671308.00,40.92,2.64
"OCHSNER AMERICAN LEGION HOSPITAL",JENNINGS,LA,R,-13556213.00,48030423.00,58075326.00,2380,582,0.4085,559387.00,24.45,2.45
"HAMMOND SURGICAL  LLC",HAMMOND,LA,U,349541.00,35353454.00,34040929.00,505,116,0.1661,NULL,22.97,6.02
"CANNON FALLS MEDICAL CENTER - MAYO","CANNON FALLS",MN,R,6450115.00,44750463.00,34033309.00,126,62,0.6189,807295.00,49.21,1.62
"GLENCOE REGIONAL HEALTH SERVICES",GLENCOE,MN,R,5840311.00,77452435.00,63721537.00,816,216,0.5643,2545586.00,26.47,1.77
"BATES COUNTY MEMORIAL HOSPITAL",BUTLER,MO,R,-1200939.00,43000868.00,37142641.00,297,137,0.2762,286810.00,46.13,3.62
"SSM SAINT LOUIS UNIVERSITY HOSPITAL","ST. LOUIS",MO,U,-31401056.00,803223664.00,705130372.00,23767,2895,0.2110,NULL,12.18,4.74
"ST. LUKES REHAB HOSPITAL",CHESTERFIELD,MO,U,6091961.00,21228239.00,14908770.00,913,746,NULL,NULL,81.71,2.38
"FRANCISCAN HEALTHCARE","WEST POINT",NE,R,11653758.00,51112573.00,43411619.00,407,261,0.5289,64429.00,64.13,1.89
"DEBORAH HEART AND LUNG CENTER","BROWNS MILLS",NJ,U,6324101.00,227015732.00,168091422.00,3412,1318,0.1328,3852837.00,38.63,7.53
"MONMOUTH MEDICAL CENTER","LONG BRANCH",NJ,U,54218250.00,532585305.00,417835010.00,20772,2517,0.2233,22849852.00,12.12,4.48
"HACKETTSTOWN MEDICAL CENTER",HACKETTSTOWN,NJ,U,4469159.00,133598457.00,125793246.00,3728,1642,0.1474,2295019.00,44.05,6.78
"THREE CROSSES REGIONAL HOSPITAL","LAS CRUCES",NM,U,-28999674.00,55666325.00,72916239.00,3042,760,0.2884,190972.00,24.98,3.47
"NEWMAN MEMORIAL HOSPITAL",SHATTUCK,OK,R,-369045.00,12351456.00,13746036.00,116,78,0.5399,456734.00,67.24,1.85
